HHRG,HHRG Description,Total Episodes,Distinct Beneficiaries,Total HHA Charge Amount,Average HHA Charge Amount,Total HHA Medicare Payment Amount,Average HHA Medicare Payment Amount
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",99670,93801,161186891.00,1617.00,171445230.00,1720.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",13385,13347,24036566.00,1796.00,27388422.00,2046.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",33160,32841,74046322.00,2233.00,78647561.00,2372.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",7976,7956,20962573.00,2628.00,21483171.00,2693.00
1AFP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5",19967,19762,59277134.00,2969.00,59969705.00,3003.00
1AGK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",190347,181199,323695301.00,1701.00,409514027.00,2151.00
1AGL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",46149,45901,89777083.00,1945.00,113420921.00,2458.00
1AGM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",131996,130000,310557684.00,2353.00,361130623.00,2736.00
1AGN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4",36542,36351,101424904.00,2776.00,109705437.00,3002.00
1AGP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5",98997,97248,314042880.00,3172.00,323045561.00,3263.00
1AHK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",34710,33008,65987801.00,1901.00,81237052.00,2340.00
1AHL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",6970,6952,14892804.00,2137.00,18249289.00,2618.00
1AHM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",22190,21983,56969022.00,2567.00,64187214.00,2893.00
1AHN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4",6677,6658,20110759.00,3012.00,20940183.00,3136.00
1AHP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5",19780,19552,84349642.00,4264.00,66817051.00,3378.00
1BFK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",125818,117307,221408139.00,1760.00,222823332.00,1771.00
1BFL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",9113,9095,19978226.00,2192.00,19778388.00,2170.00
1BFM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",22968,22776,58985832.00,2568.00,58780930.00,2559.00
1BFN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4",5505,5489,16773543.00,3047.00,16323102.00,2965.00
