HHRG,HHRG Description,Total Episodes,Distinct Beneficiaries,Total HHA Charge Amount,Average HHA Charge Amount,Total HHA Medicare Payment Amount,Average HHA Medicare Payment Amount
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",82320,77534,136495163.00,1658.00,140856242.00,1711.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",11443,11403,20842377.00,1821.00,23211350.00,2028.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",28582,28345,62938307.00,2202.00,67473801.00,2361.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",6634,6615,17252258.00,2601.00,17729290.00,2672.00
1AFP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5",17156,16953,51280168.00,2989.00,51200586.00,2984.00
1AGK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",197977,187897,337831613.00,1706.00,422739975.00,2135.00
1AGL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",49315,49004,96805925.00,1963.00,120293758.00,2439.00
1AGM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",141207,139025,333396605.00,2361.00,384016299.00,2720.00
1AGN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4",38754,38513,108492089.00,2800.00,115506328.00,2981.00
1AGP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5",103356,101502,330842075.00,3201.00,335393466.00,3245.00
1AHK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",37465,35715,70471203.00,1881.00,86693250.00,2314.00
1AHL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",8111,8075,17468841.00,2154.00,20956562.00,2584.00
1AHM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",24709,24489,63256067.00,2560.00,70540069.00,2855.00
1AHN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4",7468,7435,22360375.00,2994.00,23146839.00,3099.00
1AHP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5",22734,22488,78371622.00,3447.00,76023384.00,3344.00
1BFK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",98268,91669,176147700.00,1793.00,172747361.00,1758.00
1BFL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",7563,7556,16924909.00,2238.00,16249180.00,2149.00
1BFM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",18657,18510,48378776.00,2593.00,47440604.00,2543.00
1BFN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4",4554,4536,13756869.00,3021.00,13335391.00,2928.00
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",11315,11195,38392930.00,3393.00,37486772.00,3313.00
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",330555,306550,608124853.00,1840.00,717281820.00,2170.00
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",51658,51389,118172016.00,2288.00,131614643.00,2548.00
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",150075,147626,403987543.00,2692.00,436390405.00,2908.00
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",41110,40843,129041632.00,3139.00,133403059.00,3245.00
1BGP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5",108052,106084,385536241.00,3568.00,387213758.00,3584.00
1BHK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",78936,74033,157160730.00,1991.00,185769716.00,2353.00
1BHL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",11738,11697,28862056.00,2459.00,31689248.00,2700.00
1BHM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",36955,36572,106262321.00,2875.00,112569322.00,3046.00
1BHN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4",11197,11135,37174852.00,3320.00,37738833.00,3370.00
1BHP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5",33295,32824,124412207.00,3737.00,121863254.00,3660.00
1CFK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",122601,110655,286494654.00,2337.00,251725816.00,2053.00
1CFL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",4187,4178,11881733.00,2838.00,10266235.00,2452.00
1CFM,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",10625,10546,33686432.00,3170.00,30946199.00,2913.00
1CFN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 4",2424,2406,8718008.00,3597.00,8120999.00,3350.00
1CFP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 5",6456,6363,25182181.00,3901.00,24443687.00,3786.00
1CGK,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",477788,418302,1071559883.00,2243.00,1158723201.00,2425.00
1CGL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",41208,40932,115369381.00,2800.00,115910572.00,2813.00
