HHRG,HHRG Description,State,Total Episodes,Distinct Beneficiaries,Average HHA Charge Amount,Average HHA Medicare Payment Amount,Average HHA Medicare Standard Payment Amount
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",AK,42,40,2476,2136,1762
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",AL,1304,1230,1529,1415,1765
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",AR,850,800,1841,1487,1785
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",AZ,1297,1242,1714,1774,1772
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",CA,9216,8648,1976,2243,1780
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",CO,891,839,1825,1831,1808
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",CT,2105,1972,1670,2052,1784
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",DC,142,138,1777,1764,1757
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",DE,399,387,2027,1721,1749
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",FL,6974,6574,1592,1674,1789
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",GA,1324,1261,1558,1608,1785
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",HI,52,52,2296,2070,1794
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",IA,980,938,1535,1587,1753
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",ID,302,286,1898,1636,1827
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",IL,6008,5470,1755,1749,1766
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",IN,1944,1836,1833,1668,1777
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",KS,747,699,1770,1662,1834
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",KY,1750,1649,1561,1533,1768
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",LA,1772,1554,1566,1489,1779
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MA,3238,3051,1969,1983,1783
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MD,1751,1704,1698,1716,1758
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",ME,256,244,1804,1733,1800
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MI,3343,3156,1660,1642,1760
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MN,1021,967,1984,1809,1756
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MO,1474,1420,1655,1566,1757
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MS,1366,1240,1721,1476,1784
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MT,234,226,1747,1709,1793
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NC,2773,2602,1493,1552,1763
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",ND,140,133,1928,1402,1766
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NE,612,585,1718,1669,1769
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NH,461,443,1580,1820,1767
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NJ,1872,1815,2296,1918,1769
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NM,608,557,1495,1670,1789
