Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,AL,35020,148,60,12.8,7.5,3.5,0.0,0.0,1.8,0.1,434617,318958,376070,0.0,17,5620,66,20,40,12,48,11,49,0,0,0,0,2.30,8,18,13,8,33,50,15,25,55,53,,40,3,43,22,8
17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35216,12948,6613,18.0,9.0,4.6,1.0,0.2,3.1,0.1,33774759,31073430,38423036,0.2,1245,386390,76,2507,4106,5052,1561,5524,1017,,31,,25,2.33,20,31,26,13,47,50,39,40,46,64,,57,14,61,8,13
17013,GENTIVA HEALTH SERVICES,"557 GLOVER STREET, SUITE 5",ENTERPRISE,AL,36330,1049,576,21.6,8.7,6.8,3.3,0.1,2.6,0.0,3969040,3054792,3976784,0.5,58,16182,76,218,358,426,150,480,84,,,0,,2.00,18,31,21,13,34,43,34,34,46,65,,52,16,68,8,14
17014,AMEDISYS HOME HEALTH,68278 MAIN STREET,BLOUNTSVILLE,AL,35031,772,467,20.2,7.7,6.1,3.4,0.8,2.0,0.3,2710899,2126410,2725450,0.2,93,26425,75,168,299,342,125,455,,,,,,2.13,19,34,21,10,45,42,38,40,46,64,,53,13,69,10,17
17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,AL,36330,675,339,14.7,8.6,3.7,2.2,0.1,0.2,0.1,2086952,1544916,1993226,0.0,72,20060,75,133,206,216,123,264,71,,,0,0,2.20,21,30,29,10,42,49,39,33,53,69,,59,16,62,10,14
17018,GENTIVA HEALTH SERVICES,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,AL,35906,2821,1192,19.0,8.5,6.4,1.6,0.4,1.9,0.1,9657387,7237724,9245276,0.0,146,40127,76,418,774,848,344,1127,56,,,,,2.20,18,38,29,11,45,43,41,39,46,60,,55,12,67,11,14
17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 204, BLDG 2",MOBILE,AL,36609,1276,788,15.5,7.8,4.1,1.4,0.7,1.2,0.2,3389776,3022589,3787206,0.4,176,56778,75,291,497,634,154,601,168,,,0,,1.98,23,33,21,14,46,46,32,30,44,62,,57,15,53,9,12
17024,SOUTHEAST ALABAMA HOMECARE,2841 MONTGOMERY HIGHWAY,DOTHAN,AL,36301,1857,1012,15.5,8.7,4.3,1.8,0.5,0.2,0.1,6195226,4361093,5639825,0.1,215,65087,74,375,637,616,396,680,317,,,,,2.19,23,27,26,16,41,51,33,31,53,72,,58,13,61,10,17
17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2666,1364,18.3,8.8,5.1,2.5,0.7,1.2,0.1,8209803,6761614,8583693,0.2,261,81729,75,559,805,1066,298,926,415,,,,,2.38,21,34,21,14,43,48,30,33,45,60,,55,14,55,8,14
17026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,1640,862,22.6,8.1,8.0,2.6,0.7,3.1,0.1,6435451,5269892,6230569,0.3,108,35696,77,308,554,668,194,534,320,,,0,,2.21,17,39,22,13,37,49,29,37,46,67,,48,16,63,8,16
17027,DECATUR MORGAN HOMECARE,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,1996,1051,17.4,7.9,5.8,2.9,0.2,0.8,0.1,7314181,5039110,6599403,0.1,216,64395,76,372,679,744,307,976,63,,,0,,2.06,20,29,28,15,44,41,39,36,45,64,,50,14,63,7,11
17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,AL,35068,249,137,20.1,7.9,5.5,2.1,1.0,3.5,0.2,799607,707630,829716,0.3,32,10415,82,44,93,113,24,103,33,0,,0,,2.24,26,39,20,9,44,50,31,34,34,51,,46,18,62,10,12
17034,COMFORT CARE COASTAL HOME HEALTH,374 SOUTH GREENO ROAD,FAIRHOPE,AL,36532,767,478,17.7,7.6,5.6,3.3,0.3,0.8,0.2,1894506,1974177,2525971,0.2,79,24397,77,179,299,409,69,404,69,,,,,2.04,22,32,22,16,36,44,33,35,42,63,,54,15,59,8,13
17035,INFIRMARY HOMECARE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,AL,36609,1411,905,16.5,6.9,6.3,2.3,0.6,0.4,0.1,5156175,3844630,4826496,0.0,225,70992,76,338,567,761,144,614,277,,,0,,2.09,25,29,24,14,43,49,29,24,44,67,,57,14,61,4,16
17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,836,564,16.4,7.1,6.1,2.1,0.4,0.8,0.0,3011439,2270599,2811137,0.0,124,38128,76,201,363,436,128,343,214,,,0,,2.32,20,30,22,15,41,53,26,28,45,65,,53,13,59,7,16
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,AL,35801,1609,975,17.7,6.8,5.8,2.3,1.2,1.4,0.2,5003040,4719638,5514728,0.1,202,70200,77,344,631,772,203,794,164,,,,,2.15,19,44,23,12,42,51,31,47,43,60,,49,14,64,12,11
17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,AL,35216,99,69,17.7,8.8,6.0,3.1,0.0,0.1,0.0,389809,282496,345458,0.0,20,6314,78,20,49,57,12,51,15,,,0,,1.86,9,36,17,13,32,46,25,45,30,61,,55,14,61,6,10
17048,GENTIVA HEALTH SERVICES,101 NORTH LINCOLN STREET,GENEVA,AL,36340,770,400,21.0,7.4,8.5,2.1,0.4,2.7,0.0,2816973,2124475,2774038,0.1,48,12686,76,157,243,261,139,367,33,0,0,0,0,1.99,22,36,24,13,44,49,32,33,45,57,,54,15,72,11,13
17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,AL,35816,211,133,17.1,7.7,5.8,1.6,0.0,2.0,0.0,763714,576345,657702,0.2,38,12136,73,49,84,90,43,94,34,,,0,,2.12,14,20,26,14,33,53,35,27,41,66,,48,14,60,1,12
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,1600,1112,16.3,7.1,6.0,1.9,1.1,0.2,0.1,4674847,4472539,5326464,0.0,223,73650,79,384,728,996,116,899,199,,,,,1.95,21,45,18,12,36,45,24,41,36,62,,47,22,69,11,13
17052,GENTIVA HEALTH SERVICES,1628 NORTH MCKENZIE STREET,FOLEY,AL,36535,563,364,18.6,7.4,8.2,1.8,0.2,0.9,0.1,1929160,1509424,1990480,0.0,47,13870,78,145,219,329,35,348,,0,,,,1.85,27,34,20,15,35,44,34,29,42,65,,55,13,63,5,11
17053,CARESOUTH HOMECARE PROFESSIONALS,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,AL,36305,2433,1495,16.9,7.7,6.8,0.9,0.4,1.1,0.1,7230163,6356775,8083022,0.1,150,41801,75,570,925,1022,473,1133,345,,13,,,2.11,19,29,25,13,38,46,32,39,48,66,,55,17,67,10,15
