Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,AL,35020,235,100,10.6,6.8,2.9,0.0,0.0,0.8,0.1,538759,507297,581788,0.0,24,5540,68,34,66,24,76,19,80,0,0,,,1.70,11,23,16,4,34,43,22,35,53,45,,38,7,50,23,11
17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35216,12012,6154,17.9,8.6,4.0,1.0,0.3,3.9,0.1,30054339,28678306,34815538,0.1,1123,315270,76,2225,3929,4718,1436,5199,884,,29,,21,2.14,19,33,13,14,46,44,36,38,45,62,,57,15,59,9,14
17013,GENTIVA HEALTH SERVICES,"557 GLOVER STREET, SUITE 5",ENTERPRISE,AL,36330,809,459,20.5,8.0,6.3,2.8,0.1,3.3,0.0,2811738,2224491,2860262,0.2,53,13118,76,142,317,335,124,402,50,,,0,,1.89,16,33,13,12,33,32,35,30,47,64,,51,17,68,9,11
17014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,AL,35121,460,320,18.1,8.3,4.6,2.8,0.6,1.7,0.2,1384551,1184541,1458731,0.2,59,17068,74,121,199,234,86,313,,,,0,,1.86,17,33,6,11,43,34,37,37,44,58,,54,12,67,11,11
17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,AL,36330,959,500,14.0,8.4,3.4,1.7,0.2,0.3,0.1,2831182,2172594,2747201,0.1,107,29145,74,196,304,323,177,363,120,,,0,,1.86,18,29,15,10,39,38,37,28,51,61,,55,11,59,8,11
17017,SOUTHERN RURAL HEALTH CARE,508 ST CLAIR STREET SE,RUSSELLVILLE,AL,35653,109,84,18.4,6.2,4.3,0.2,0.1,7.6,0.0,203260,215280,272915,0.0,19,5030,79,24,60,54,30,78,,0,0,0,,2.06,14,39,7,15,44,36,44,35,42,58,,54,11,64,6,7
17018,GENTIVA HEALTH SERVICES,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,AL,35906,2642,1223,19.1,8.6,6.3,1.3,0.7,2.1,0.1,8865381,6890110,8666253,0.1,170,42859,75,444,779,843,380,1141,72,,,,,2.06,17,39,11,10,49,38,44,37,46,58,,58,12,62,13,13
17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 104, BLDG 2",MOBILE,AL,36609,1025,639,18.3,8.4,4.3,2.6,0.6,2.3,0.1,3026383,2506461,3178792,0.2,126,35139,76,230,409,502,137,495,132,,,,,1.99,23,39,11,12,43,36,31,28,43,60,,58,12,56,11,15
17024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,AL,36301,2164,1084,14.2,7.7,3.7,1.6,0.5,0.7,0.1,6523622,4825742,6118054,0.1,354,98275,75,423,661,653,431,734,336,,,0,,2.09,21,31,15,14,41,49,32,26,53,68,,59,16,61,8,13
17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2307,1137,18.5,9.3,4.8,1.9,0.7,1.8,0.1,7119417,5837391,7334445,0.1,202,53539,76,398,739,886,251,782,337,,,,,2.19,20,38,14,13,40,38,28,29,45,58,,56,13,54,7,15
